t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
221.004,measure,11033,11034,0,1,11026,6515939,1.575,453216,1490252,1,0,50.00,11034,0
221.995,measure,11083,11083,0,12,11076,6545371,1.575,451860,1490252,1,0,50.00,11083,0
223.004,measure,11133,11134,0,0,11126,6574721,1.575,450500,1490252,1,0,50.00,11134,0
223.999,measure,11183,11183,0,14,11176,6604735,1.575,449144,1490252,1,0,49.95,11183,0
224.995,measure,11233,11233,0,11,11226,6634461,1.575,447800,1490252,1,0,50.00,11233,0
225.996,measure,11283,11283,0,11,11276,6663932,1.575,446460,1490252,1,0,50.00,11283,0
226.999,measure,11333,11333,0,15,11326,6693288,1.575,445120,1490252,1,0,50.00,11333,0
228.005,measure,11383,11384,0,0,11376,6722590,1.575,443780,1490252,1,0,50.00,11384,0
228.999,measure,11433,11433,0,15,11426,6751861,1.575,442444,1490252,1,0,50.00,11433,0
229.999,measure,11483,11483,0,16,11476,6781195,1.575,441128,1490252,1,0,50.00,11483,0
231.004,measure,11533,11534,0,0,11526,6810510,1.575,439800,1490252,1,0,50.00,11534,0
231.995,measure,11583,11583,0,11,11576,6839692,1.575,438476,1490252,1,0,50.00,11583,0
232.995,measure,11633,11633,0,11,11626,6868988,1.575,437168,1490252,1,0,50.05,11633,0
234.004,measure,11683,11684,0,0,11676,6898235,1.575,435860,1490252,1,0,49.95,11684,0
235.004,measure,11733,11734,0,0,11726,6927626,1.575,434552,1490252,1,0,50.00,11734,0
235.997,measure,11783,11783,0,14,11776,6956931,1.575,433252,1490252,1,0,50.00,11783,0
237.004,measure,11833,11834,0,0,11826,6986717,1.575,431976,1490252,1,0,50.00,11834,0
238.003,measure,11883,11884,0,0,11876,7016669,1.575,430688,1490252,1,0,49.95,11884,0
239.003,measure,11933,11934,0,1,11926,7046479,1.575,429400,1490252,1,0,50.05,11934,0
239.995,measure,11983,11983,0,11,11976,7076058,1.575,428128,1490252,1,0,50.00,11983,0
241.004,measure,12033,12034,0,0,12026,7105461,1.575,426840,1490252,1,0,50.00,12034,0
242.004,measure,12083,12084,0,0,12076,7141579,7.741,425572,1490252,1,0,50.00,12084,0
243.004,measure,12133,12134,0,0,12126,7170919,7.741,424680,1490824,1,0,50.00,12134,0
244.004,measure,12183,12184,0,0,12176,7200214,7.741,423400,1490824,1,0,50.00,12184,0
244.998,measure,12233,12233,0,13,12226,7229451,7.741,422124,1490824,1,0,50.00,12233,0
245.996,measure,12283,12283,0,13,12276,7258933,7.741,420864,1490824,1,0,50.00,12283,0
