t_s,phase,frame_number,interval_ms
18.049,warmup,887,19.882
18.072,warmup,888,23.098
18.091,warmup,889,18.287
18.109,warmup,890,18.646
18.130,warmup,891,21.026
18.149,warmup,892,18.915
18.169,warmup,893,20.069
18.190,warmup,894,20.787
18.209,warmup,895,19.184
18.229,warmup,896,20.043
18.251,warmup,897,21.368
18.269,warmup,898,17.993
18.289,warmup,899,19.923
18.309,warmup,900,20.623
18.328,warmup,901,19.025
18.353,warmup,902,24.761
18.368,warmup,903,15.223
18.389,warmup,904,20.916
18.410,warmup,905,21.184
18.429,warmup,906,18.759
18.451,warmup,907,21.901
18.471,warmup,908,19.633
18.489,warmup,909,17.971
18.511,warmup,910,22.338
18.531,warmup,911,19.910
18.550,warmup,912,19.717
18.569,warmup,913,18.839
18.589,warmup,914,19.344
18.609,warmup,915,20.671
18.633,warmup,916,23.869
18.648,warmup,917,15.213
18.671,warmup,918,22.113
18.691,warmup,919,20.186
18.709,warmup,920,18.752
18.730,warmup,921,20.344
18.750,warmup,922,20.462
18.770,warmup,923,19.326
18.791,warmup,924,21.151
18.809,warmup,925,17.874
18.830,warmup,926,21.217
18.851,warmup,927,20.750
18.869,warmup,928,18.156
18.891,warmup,929,21.915
18.912,warmup,930,21.608
18.930,warmup,931,17.390
18.950,warmup,932,19.948
18.971,warmup,933,21.343
18.990,warmup,934,18.552
19.010,warmup,935,20.233
19.030,warmup,936,20.353
19.050,warmup,937,19.491
19.069,warmup,938,19.691
19.080,warmup,938,10.771
19.089,warmup,939,9.416
19.108,warmup,940,18.819
19.129,warmup,941,20.930
19.148,warmup,942,19.018
19.169,warmup,943,20.653
19.192,warmup,944,23.193
19.208,warmup,945,16.021
19.229,warmup,946,21.108
19.250,warmup,947,20.935
19.269,warmup,948,18.979
19.289,warmup,949,19.862
19.310,warmup,950,21.093
19.330,warmup,951,20.059
19.349,warmup,952,18.994
19.369,warmup,953,20.008
19.389,warmup,954,20.121
19.408,warmup,955,18.939
19.428,warmup,956,19.758
19.451,warmup,957,23.248
19.473,warmup,958,21.549
19.489,warmup,959,16.274
19.511,warmup,960,22.255
19.531,warmup,961,19.847
19.552,warmup,962,20.711
19.569,warmup,963,17.285
19.590,warmup,964,20.668
19.609,warmup,965,19.672
19.629,warmup,966,19.402
19.650,warmup,967,21.129
19.670,warmup,968,19.869
19.690,warmup,969,20.048
19.710,warmup,970,19.817
19.731,warmup,971,20.934
19.753,warmup,972,21.898
19.769,warmup,973,16.205
19.789,warmup,974,20.142
19.810,warmup,975,21.333
19.830,warmup,976,19.486
19.852,warmup,977,22.237
19.870,warmup,978,18.505
19.890,warmup,979,19.608
19.910,warmup,980,19.737
19.929,warmup,981,19.048
19.949,warmup,982,20.142
19.970,warmup,983,20.765
19.990,warmup,984,20.189
20.010,warmup,985,20.025
20.033,warmup,986,23.042
20.049,warmup,987,15.826
20.070,warmup,988,20.893
20.091,warmup,989,21.061
20.110,warmup,990,18.969
